epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9896,5.40057,5.84545,3.80949,0,0,0,0,3.59842,38.3949,2.44324,0.000548158,0.000548158,0.000548158
2,67.1088,2.8379,2.41807,1.96839,0.16298,0.25515,0.16842,0.05957,2.39506,2.44596,1.42359,0.00109654,0.00109654,0.00109654
3,94.4425,2.23025,1.70523,1.47732,0.43359,0.44645,0.34315,0.08661,2.63895,2.21727,1.46427,0.00163759,0.00163759,0.00163759
4,121.808,2.05367,1.51691,1.36968,0.53674,0.54607,0.50934,0.14279,2.43719,1.88958,1.33049,0.00163399,0.00163399,0.00163399
5,149.16,1.9721,1.33709,1.30394,0.73127,0.78528,0.83499,0.3858,1.63734,1.0553,1.10229,0.00162299,0.00162299,0.00162299
6,176.993,1.86323,1.25611,1.2572,0.82501,0.79425,0.89198,0.46744,1.56098,0.95982,1.05814,0.00161199,0.00161199,0.00161199
7,204.268,1.83714,1.20677,1.23591,0.82198,0.82245,0.89188,0.43856,1.59992,0.97567,1.07257,0.00160099,0.00160099,0.00160099
8,231.198,1.82197,1.17285,1.21777,0.72945,0.81432,0.82931,0.38406,1.71551,1.07018,1.08551,0.00158998,0.00158998,0.00158998
9,258.167,1.76101,1.10503,1.20213,0.67636,0.81298,0.83383,0.41779,1.49656,0.98337,1.061,0.00157898,0.00157898,0.00157898
10,285.379,1.76134,1.10115,1.20182,0.87361,0.86567,0.941,0.53754,1.40417,0.89971,1.01236,0.00156798,0.00156798,0.00156798
11,312.449,1.70917,1.0418,1.17358,0.90494,0.89674,0.94809,0.60426,1.30646,0.80913,0.99548,0.00155698,0.00155698,0.00155698
12,339.68,1.6645,1.00869,1.16417,0.86672,0.90357,0.92876,0.50047,1.53128,0.83641,1.05781,0.00154598,0.00154598,0.00154598
13,366.534,1.66375,1.02355,1.1659,0.86868,0.83915,0.93672,0.61941,1.22926,0.88336,0.98538,0.00153497,0.00153497,0.00153497
14,393.753,1.62486,0.97567,1.13524,0.88597,0.88034,0.95221,0.60278,1.28051,0.84576,0.99117,0.00152397,0.00152397,0.00152397
15,420.648,1.59127,0.93256,1.12476,0.92631,0.91162,0.96273,0.62293,1.28804,0.71808,0.97415,0.00151297,0.00151297,0.00151297
16,448.061,1.56714,0.90598,1.12356,0.9148,0.95237,0.97626,0.62843,1.20234,0.73476,0.97727,0.00150197,0.00150197,0.00150197
17,475.225,1.59116,0.92596,1.14255,0.92609,0.91163,0.95131,0.56865,1.42992,0.75843,0.99679,0.00149096,0.00149096,0.00149096
18,502.499,1.55237,0.89284,1.11565,0.93516,0.93577,0.97354,0.67167,1.1269,0.68655,0.96033,0.00147996,0.00147996,0.00147996
19,529.5,1.49442,0.8571,1.09895,0.9143,0.86848,0.95306,0.61919,1.27455,0.79776,0.96587,0.00146896,0.00146896,0.00146896
20,556.972,1.52019,0.85179,1.09821,0.91684,0.92264,0.96751,0.62608,1.27605,0.69704,0.96101,0.00145796,0.00145796,0.00145796
21,584.101,1.5099,0.84674,1.10604,0.9044,0.92176,0.95978,0.61992,1.24413,0.69916,0.96141,0.00144696,0.00144696,0.00144696
22,611.29,1.48204,0.83343,1.08768,0.95644,0.96048,0.98195,0.63267,1.28825,0.70432,0.96782,0.00143595,0.00143595,0.00143595
23,638.552,1.47829,0.82529,1.07726,0.74266,0.74492,0.85476,0.54127,1.28596,1.12642,0.96528,0.00142495,0.00142495,0.00142495
24,665.847,1.4457,0.81882,1.0761,0.93547,0.96379,0.98042,0.69445,1.0927,0.63876,0.94789,0.00141395,0.00141395,0.00141395
25,692.933,1.48377,0.83364,1.0907,0.91994,0.93726,0.97037,0.61972,1.30981,0.70524,0.96897,0.00140295,0.00140295,0.00140295
26,720.184,1.44643,0.79888,1.06531,0.92068,0.95628,0.97262,0.65934,1.10595,0.6256,0.94018,0.00139195,0.00139195,0.00139195
27,747.251,1.42615,0.78355,1.06728,0.9498,0.93026,0.98012,0.69271,1.08289,0.65374,0.9358,0.00138094,0.00138094,0.00138094
28,774.722,1.42288,0.7763,1.06773,0.96238,0.95017,0.98305,0.71671,1.02218,0.61593,0.92272,0.00136994,0.00136994,0.00136994
29,802.088,1.40524,0.77296,1.06259,0.94297,0.94975,0.97598,0.68157,1.1032,0.61747,0.93256,0.00135894,0.00135894,0.00135894
30,829.335,1.41632,0.77249,1.06241,0.90909,0.81035,0.91834,0.64572,1.056,0.88117,0.93024,0.00134794,0.00134794,0.00134794
31,856.614,1.40485,0.76221,1.06833,0.95931,0.96981,0.98566,0.70263,1.05054,0.58164,0.92582,0.00133693,0.00133693,0.00133693
32,883.849,1.38199,0.75531,1.05464,0.95231,0.96648,0.98378,0.70293,1.05777,0.5892,0.93595,0.00132593,0.00132593,0.00132593
33,911.017,1.38628,0.75759,1.05878,0.95485,0.96832,0.98569,0.70161,1.04872,0.62614,0.92381,0.00131493,0.00131493,0.00131493
34,938.145,1.36451,0.74195,1.0511,0.96797,0.97904,0.98924,0.69202,1.11892,0.58523,0.92535,0.00130393,0.00130393,0.00130393
35,965.136,1.38899,0.76012,1.06888,0.94099,0.85052,0.95087,0.67035,1.07792,0.76421,0.92983,0.00129293,0.00129293,0.00129293
36,992.183,1.36867,0.75352,1.05133,0.97063,0.95466,0.98339,0.71327,1.01171,0.60501,0.92757,0.00128192,0.00128192,0.00128192
37,1019.37,1.31194,0.70518,1.02713,0.97639,0.97755,0.99299,0.7169,0.99302,0.56911,0.91346,0.00127092,0.00127092,0.00127092
38,1047.4,1.33781,0.71698,1.03907,0.94966,0.97221,0.98274,0.67561,1.18329,0.62545,0.94458,0.00125992,0.00125992,0.00125992
39,1074.88,1.35855,0.71977,1.05496,0.94869,0.97241,0.98139,0.73638,0.97082,0.5422,0.91101,0.00124892,0.00124892,0.00124892
40,1103.06,1.34779,0.72368,1.05625,0.94296,0.96005,0.97757,0.70799,1.04681,0.55859,0.92427,0.00123791,0.00123791,0.00123791
41,1131.47,1.35089,0.72188,1.04179,0.96278,0.95759,0.98808,0.72872,0.9652,0.57857,0.91331,0.00122691,0.00122691,0.00122691
42,1159.63,1.35432,0.72133,1.04437,0.96902,0.97188,0.98857,0.74428,0.9522,0.53203,0.90366,0.00121591,0.00121591,0.00121591
43,1187.59,1.34656,0.71739,1.05043,0.97708,0.97137,0.99048,0.73913,0.96651,0.5451,0.91255,0.00120491,0.00120491,0.00120491
44,1215.78,1.30168,0.68607,1.03479,0.97385,0.9685,0.98794,0.71813,1.02008,0.55599,0.91928,0.00119391,0.00119391,0.00119391
45,1243.9,1.31289,0.6878,1.03507,0.97134,0.9732,0.98141,0.72786,0.96226,0.5329,0.91128,0.0011829,0.0011829,0.0011829
46,1272.08,1.31882,0.68621,1.04023,0.95218,0.98602,0.98666,0.72285,1.01536,0.52698,0.91827,0.0011719,0.0011719,0.0011719
47,1300.28,1.30252,0.6804,1.02517,0.96405,0.98948,0.98829,0.70579,1.0566,0.55055,0.91718,0.0011609,0.0011609,0.0011609
48,1328.22,1.28497,0.66377,1.02332,0.9651,0.95607,0.98231,0.73775,0.98032,0.54932,0.90543,0.0011499,0.0011499,0.0011499
49,1355.83,1.29657,0.66962,1.02681,0.96456,0.9348,0.98803,0.71441,1.02183,0.58389,0.9092,0.00113889,0.00113889,0.00113889
50,1383.57,1.30022,0.66948,1.03409,0.96294,0.96416,0.98474,0.73632,0.9953,0.5573,0.9165,0.00112789,0.00112789,0.00112789
51,1411.22,1.27459,0.67087,1.02241,0.98293,0.95539,0.98498,0.72625,0.9842,0.55263,0.91033,0.00111689,0.00111689,0.00111689
52,1439.04,1.30034,0.67125,1.02281,0.97144,0.97572,0.97955,0.75377,0.95969,0.51102,0.90827,0.00110589,0.00110589,0.00110589
53,1466.9,1.29867,0.66184,1.02597,0.9642,0.98427,0.98289,0.73226,1.00162,0.5186,0.90884,0.00109489,0.00109489,0.00109489
54,1495.18,1.25463,0.64944,1.01191,0.97382,0.97723,0.98896,0.74832,0.92948,0.49891,0.8981,0.00108388,0.00108388,0.00108388
55,1523.85,1.25669,0.65227,1.02155,0.96376,0.99237,0.99002,0.74911,0.93424,0.50178,0.89958,0.00107288,0.00107288,0.00107288
56,1551.46,1.24827,0.64866,1.02046,0.97031,0.96975,0.98524,0.73601,0.9918,0.52936,0.91724,0.00106188,0.00106188,0.00106188
57,1579.37,1.29907,0.67021,1.02947,0.98185,0.98536,0.99015,0.74151,0.94802,0.49992,0.90712,0.00105088,0.00105088,0.00105088
58,1606.91,1.27464,0.64779,1.01797,0.968,0.98255,0.98434,0.72296,1.02156,0.53303,0.9147,0.00103987,0.00103987,0.00103987
59,1634.45,1.25347,0.64666,1.01236,0.98011,0.976,0.98645,0.74948,0.9508,0.50742,0.90566,0.00102887,0.00102887,0.00102887
60,1662.33,1.23667,0.6352,1.00953,0.9729,0.97859,0.98725,0.73485,1.01014,0.5383,0.90617,0.00101787,0.00101787,0.00101787
61,1689.99,1.24761,0.63158,1.01273,0.97432,0.97995,0.9828,0.75861,0.9009,0.48523,0.90002,0.00100687,0.00100687,0.00100687
62,1717.66,1.23783,0.62818,1.01931,0.96866,0.98094,0.98614,0.73068,1.02403,0.51684,0.90539,0.000995866,0.000995866,0.000995866
63,1745.81,1.22372,0.61991,1.00206,0.96618,0.97775,0.984,0.75876,0.93264,0.4962,0.90572,0.000984864,0.000984864,0.000984864
64,1773.55,1.2457,0.62992,1.01055,0.97383,0.98338,0.98869,0.72695,1.00509,0.50788,0.9075,0.000973861,0.000973861,0.000973861
65,1801.15,1.25062,0.63043,1.01687,0.96644,0.96415,0.98729,0.76601,0.92233,0.51534,0.89665,0.000962859,0.000962859,0.000962859
66,1828.77,1.21429,0.61532,1.00384,0.98876,0.9691,0.99232,0.77211,0.90812,0.50246,0.89651,0.000951857,0.000951857,0.000951857
67,1856.14,1.20308,0.60308,0.99658,0.96173,0.95372,0.99077,0.77212,0.87988,0.50864,0.891,0.000940855,0.000940855,0.000940855
68,1883.53,1.20381,0.61455,1.00186,0.96175,0.98743,0.98754,0.76401,0.89434,0.48126,0.89449,0.000929853,0.000929853,0.000929853
69,1910.85,1.22255,0.61753,1.00907,0.98266,0.97794,0.99317,0.77256,0.89589,0.47649,0.89082,0.00091885,0.00091885,0.00091885
70,1938.71,1.24853,0.63213,1.02036,0.97311,0.96803,0.98874,0.76676,0.92359,0.51036,0.90076,0.000907848,0.000907848,0.000907848
71,1966.96,1.21606,0.61241,1.0058,0.97677,0.97803,0.99138,0.75592,0.96954,0.49695,0.90506,0.000896846,0.000896846,0.000896846
72,1994.85,1.18813,0.6036,0.99209,0.9778,0.97755,0.99071,0.78877,0.87576,0.46789,0.88846,0.000885844,0.000885844,0.000885844
73,2022.87,1.17208,0.58712,0.99645,0.97914,0.98665,0.98225,0.78047,0.87883,0.46195,0.88828,0.000874842,0.000874842,0.000874842
74,2050.8,1.23095,0.6074,1.01486,0.97204,0.98107,0.99181,0.77373,0.88528,0.47754,0.89562,0.000863839,0.000863839,0.000863839
75,2078.44,1.21998,0.60548,1.00789,0.97658,0.97475,0.99094,0.78277,0.89127,0.49488,0.8874,0.000852837,0.000852837,0.000852837
