                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0448,                 2.8434,                0.69849,                 3.1509,                 1.9384,                0.42601,                0.54247,                0.46038,                0.25016,                0.54466,                0.57692,                0.61643,                0.20031,                  1.555,                 2.7838,                0.70321,                 1.6914,                 1.3786,                0.00038,                0.00038,                0.00038
                      2,                 1.4582,                 2.0331,                0.60779,                 1.7611,                 1.3344,                0.38539,                0.45832,                0.42909,                0.22565,                0.41007,                0.57692,                0.46339,                0.20473,                 1.6243,                 2.3126,                0.64151,                 2.3436,                 1.3994,             0.00077485,             0.00077485,             0.00077485
                      3,                 1.5935,                  1.606,                0.59264,                  1.532,                 1.3861,                0.54334,                0.76923,                0.63637,                0.33793,                0.66951,                0.61538,                0.70237,                0.42755,                 1.6443,                 1.9305,                0.52518,                 1.6765,                 1.5528,              0.0011644,              0.0011644,              0.0011644
                      4,                  1.625,                 1.2388,                0.59415,                 1.5392,                 1.4504,                0.62649,                    0.5,                0.56298,                0.24231,                0.67679,                0.53846,                0.65043,                0.48015,                 2.1357,                 1.7303,                0.48685,                 1.5952,                  2.087,              0.0015487,              0.0015487,              0.0015487
                      5,                  1.479,                 1.1841,                0.53235,                 1.4152,                  1.358,                0.21989,                0.37953,                0.17352,                0.06491,                0.37948,                0.65385,                0.38084,                0.19346,                 2.7664,                 2.1463,                0.48585,                  3.133,                 2.4699,              0.0019277,              0.0019277,              0.0019277
                      6,                 1.6481,                 1.0707,                0.51688,                    1.4,                 1.4051,                0.46378,                0.26923,                0.24849,                0.10741,                 0.3344,                0.46154,                0.32576,                0.21882,                 2.3839,                 1.8393,                0.40029,                  2.797,                 2.1803,               0.001934,               0.001934,               0.001934
                      7,                  1.541,                  1.033,                0.56615,                 1.4559,                 1.4027,                0.23552,                0.38462,                0.23166,                0.11856,                0.52738,                0.34615,                  0.415,                 0.2632,                  1.903,                 1.7345,                0.41827,                 4.3765,                 1.6167,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.4046,                0.70115,                0.46794,                 1.3396,                 1.2836,                0.46625,                0.46154,                0.40747,                0.18443,                0.50624,                    0.5,                0.51093,                0.38658,                 1.9431,                 1.3937,                0.31435,                 2.5525,                 1.6965,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.4796,                0.69746,                 0.4928,                 1.2451,                 1.3327,                0.75617,                0.76923,                0.77993,                0.43355,                 0.8607,                0.69231,                0.86073,                0.73692,                 1.5566,                0.99848,                0.20411,                 1.6064,                 1.3752,              0.0018944,              0.0018944,              0.0018944
                     10,                  1.367,                0.69244,                 0.4671,                 1.1234,                  1.247,                  0.766,                0.69231,                 0.7337,                0.45213,                0.75854,                0.72514,                0.73513,                0.61933,                 1.5258,                  1.454,                0.17685,                 1.3442,                 1.3906,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.3816,                0.74722,                 0.4666,                 1.1496,                 1.2525,                0.67443,                0.76923,                0.69853,                0.40178,                  0.642,                0.73077,                0.68759,                0.58155,                 1.3399,                  1.269,                0.19236,                 1.5056,                 1.2321,               0.001868,               0.001868,               0.001868
                     12,                 1.3561,                0.57433,                  0.421,                  1.078,                 1.2384,                0.58008,                0.65385,                0.64462,                0.33633,                0.66508,                0.76393,                0.80517,                0.65686,                 1.5315,                0.92071,                0.22246,                 1.6042,                 1.3824,              0.0018548,              0.0018548,              0.0018548
                     13,                 1.4325,                 0.6865,                0.48462,                  1.156,                 1.2957,                0.69284,                0.80769,                 0.7644,                0.48955,                0.72672,                0.84615,                0.79068,                0.65856,                 1.3816,                 1.0285,                0.23152,                 1.0598,                 1.2047,              0.0018416,              0.0018416,              0.0018416
                     14,                 1.3441,                0.53712,                0.44116,                 1.0976,                 1.2358,                0.81161,                0.82886,                0.84486,                0.50241,                0.84863,                0.86288,                0.82548,                0.67665,                 1.2606,                  1.042,                0.20909,                 1.5045,                 1.1885,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.3274,                0.54692,                0.45298,                 1.1244,                 1.2336,                0.87925,                0.84039,                 0.8513,                0.49204,                0.87925,                0.84039,                0.85917,                0.80282,                 1.4353,                0.74555,                0.20313,                 1.2472,                  1.302,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.2312,                0.42634,                0.44321,                0.99303,                 1.1849,                0.83995,                0.84615,                0.86258,                0.52954,                0.83995,                0.84615,                0.86571,                0.77876,                 1.2277,                0.95871,                0.16608,                 1.5939,                 1.2847,               0.001802,               0.001802,               0.001802
                     17,                   1.23,                0.52807,                0.43314,                 1.0576,                  1.193,                0.80689,                0.88462,                0.82745,                0.47421,                 0.8463,                0.92308,                0.89372,                 0.8096,                 1.3955,                 0.6822,                0.13155,                 1.4178,                 1.3038,              0.0017888,              0.0017888,              0.0017888
                     18,                 1.2189,                0.41887,                0.40679,                0.99335,                 1.2086,                0.84301,                0.88462,                0.89421,                0.60554,                0.84301,                0.88462,                0.93216,                0.89393,                 1.2237,                0.48848,                0.14944,                0.87171,                 1.1373,              0.0017756,              0.0017756,              0.0017756
                     19,                 1.2096,                0.47057,                0.44101,                0.98978,                 1.1899,                0.91917,                0.88462,                0.91871,                0.62566,                0.91917,                0.88462,                0.94582,                0.89031,                 1.2457,                0.72571,                0.14517,                0.90168,                 1.2194,              0.0017624,              0.0017624,              0.0017624
