                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8563,                 2.6733,                0.66061,                  2.551,                 1.6899,                0.43048,                0.56757,                0.41078,                0.20034,                0.40938,                0.56757,                 0.4746,                0.25937,                 1.9508,                 2.8574,                0.59895,                 2.5134,                 1.8245,             0.00065306,             0.00065306,             0.00065306
                      2,                 1.7306,                 1.5841,                0.61824,                  1.792,                 1.5149,                0.51524,                0.51351,                0.48894,                0.26686,                0.64322,                    0.5,                0.58675,                0.41084,                  2.055,                 2.0031,                0.46878,                 1.8309,                 2.0422,               0.001311,               0.001311,               0.001311
                      3,                 1.8103,                 1.3314,                  0.563,                 1.7218,                 1.5312,                0.32617,                0.28378,                0.22736,                0.09108,                0.28935,                0.54054,                0.31801,                0.18073,                 2.4693,                 2.3524,                0.39408,                 2.3863,                 2.1734,              0.0019602,              0.0019602,              0.0019602
                      4,                 1.8044,                 1.1747,                0.52172,                 1.7647,                 1.5401,                0.67131,                0.43243,                0.49047,                0.26692,                0.73512,                0.48758,                  0.578,                0.42063,                  1.684,                 1.8068,                0.19416,                 3.0741,                 1.5795,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.7193,                0.99218,                0.49687,                 1.5895,                 1.4458,                0.49449,                0.52703,                0.56337,                0.29569,                0.53995,                0.58108,                0.62193,                0.47951,                 1.8116,                 1.5857,                0.20479,                 1.7076,                 1.6069,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.6637,                0.92938,                0.49254,                 1.5214,                 1.4398,                0.68788,                 0.5659,                  0.663,                0.33412,                0.68725,                0.62162,                0.68882,                0.58367,                 1.7342,                 1.4181,                 0.1976,                 1.9484,                 1.6105,               0.001934,               0.001934,               0.001934
                      7,                 1.6384,                 0.8097,                0.48926,                  1.456,                 1.3869,                0.74607,                0.55588,                0.62035,                0.34459,                0.78218,                0.58234,                0.72071,                 0.6041,                 1.5757,                 1.3648,                0.24257,                 1.8592,                 1.4752,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.5247,                0.70136,                0.47526,                 1.3757,                 1.3498,                0.89252,                0.62162,                0.74639,                0.47487,                0.87849,                0.64865,                0.76561,                0.69535,                 1.4199,                 1.0381,                0.15926,                 1.5881,                 1.3138,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.5749,                0.84695,                0.47808,                 1.4466,                 1.3763,                0.86212,                0.62162,                0.77594,                0.46781,                0.88063,                0.67568,                0.84957,                0.72864,                 1.4626,                 1.0568,                0.17998,                 1.2212,                 1.3569,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.4601,                0.73619,                0.45426,                 1.2867,                 1.3054,                0.79329,                0.68919,                0.78412,                0.48459,                0.78472,                0.73891,                0.84173,                0.76589,                 1.3715,                0.89226,                0.17492,                 1.4372,                 1.3505,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.4245,                0.63687,                0.46587,                 1.2566,                 1.2825,                0.87681,                0.76947,                0.87363,                0.55948,                0.90217,                 0.7973,                 0.9075,                0.83149,                 1.3898,                0.88523,                0.24053,                 1.0929,                 1.3299,               0.001868,               0.001868,               0.001868
                     12,                 1.4319,                0.67358,                0.43256,                 1.2406,                 1.2955,                0.84394,                0.67568,                0.80985,                 0.4923,                0.88563,                0.71622,                0.88798,                 0.8213,                 1.4993,                0.62358,                0.19962,                  1.117,                 1.4087,              0.0018548,              0.0018548,              0.0018548
                     13,                 1.3601,                  0.699,                0.43129,                 1.2109,                 1.2587,                0.74346,                 0.7973,                0.78318,                0.48725,                0.79062,                0.85135,                0.87192,                0.79803,                 1.3492,                 0.6964,                0.12887,                 1.1682,                 1.3843,              0.0018416,              0.0018416,              0.0018416
                     14,                  1.354,                0.59553,                0.42497,                 1.1525,                 1.2704,                 0.7428,                0.78059,                0.79284,                0.48237,                 0.8142,                0.85135,                0.87738,                0.80593,                 1.4464,                0.93629,                0.18114,                 1.1775,                 1.2892,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.3099,                0.59585,                0.39764,                 1.1372,                  1.232,                0.87612,                0.78378,                0.87468,                0.56766,                0.84812,                0.77027,                 0.8859,                0.84167,                 1.2825,                0.82844,                0.12932,                0.99922,                 1.2549,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.2945,                0.61134,                0.39894,                 1.1118,                 1.2293,                0.83325,                0.82432,                0.87515,                0.55998,                0.83397,                0.86486,                0.89996,                 0.8553,                 1.3232,                0.51339,                0.12144,                0.98662,                 1.2735,               0.001802,               0.001802,               0.001802
                     17,                 1.2791,                0.52505,                0.38624,                 1.0741,                 1.2082,                 0.7854,                0.79136,                0.84074,                0.50341,                0.81155,                0.82432,                0.88926,                0.81677,                 1.3513,                0.88727,                0.16933,                0.96219,                 1.2665,              0.0017888,              0.0017888,              0.0017888
                     18,                 1.3172,                  0.522,                0.37735,                 1.1288,                  1.231,                0.83213,                0.83784,                0.87334,                0.57058,                0.87089,                0.87838,                0.93578,                0.88319,                 1.2954,                0.64911,                0.09204,                0.91225,                 1.2285,              0.0017756,              0.0017756,              0.0017756
                     19,                 1.2976,                0.48843,                  0.395,                 1.0981,                 1.2207,                0.78903,                 0.7973,                0.85358,                0.54195,                0.85117,                0.77289,                0.87214,                 0.8264,                 1.3521,                0.80738,                0.15818,                 1.2484,                 1.2894,              0.0017624,              0.0017624,              0.0017624
                     20,                 1.2689,                0.50831,                0.36807,                 1.1078,                 1.2157,                0.89345,                0.79321,                0.89851,                0.62572,                0.90656,                 0.7973,                 0.9194,                0.86561,                  1.227,                0.57408,                0.18712,                 0.9106,                 1.1929,              0.0017492,              0.0017492,              0.0017492
                     21,                 1.2011,                 0.4389,                0.32906,                 1.0353,                 1.1716,                0.92344,                0.81501,                0.91075,                0.61578,                0.91011,                  0.821,                0.91909,                0.87104,                  1.204,                0.66943,                0.19243,                0.94595,                 1.1719,               0.001736,               0.001736,               0.001736
                     22,                 1.1882,                0.42918,                0.33212,                0.99376,                 1.1702,                0.86023,                0.83174,                0.90813,                0.62862,                0.86857,                0.89304,                0.94356,                0.89973,                  1.173,                0.63189,                0.17372,                  0.817,                 1.1419,              0.0017228,              0.0017228,              0.0017228
                     23,                 1.2004,                0.42741,                0.31948,                   1.01,                 1.1828,                0.80964,                0.77027,                0.84578,                0.57076,                0.87448,                0.77027,                0.90009,                 0.8355,                 1.3086,                0.85903,                0.09171,                0.90617,                 1.3181,              0.0017096,              0.0017096,              0.0017096
