epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5536,5.7495,4.93947,4.4521,0,0,0,0,6.62103,4.41286,4.16756,0.00031673,0.00031673,0.00031673
2,50.3762,4.95882,4.17159,4.02373,0,0,0,0,6.65183,4.44659,4.25848,0.000645839,0.000645839,0.000645839
3,58.7421,4.01472,3.27624,3.20185,0,0,0,0,6.74308,4.57871,4.54994,0.000970547,0.000970547,0.000970547
4,66.3665,3.29193,2.75749,2.69005,0,0,0,0,6.81079,4.41404,4.84071,0.00129085,0.00129085,0.00129085
5,74.7705,2.83365,2.32833,2.35295,0.01011,0.62314,0.03324,0.01453,3.183,3.53077,2.56789,0.00160676,0.00160676,0.00160676
6,82.0657,2.50239,2.01504,2.02165,0.01787,0.05549,0.01984,0.00703,5.40193,3.99119,3.79231,0.00161199,0.00161199,0.00161199
7,90.2278,2.35498,1.80305,1.9495,0.00079,0.00273,0.0004,8e-05,4.76559,4.75143,3.15458,0.00160099,0.00160099,0.00160099
8,98.4577,2.24552,1.66628,1.84385,0.55235,0.33739,0.38269,0.19913,2.37078,2.02806,1.94251,0.00158998,0.00158998,0.00158998
9,105.808,2.13212,1.53962,1.73206,0.50274,0.57707,0.64242,0.32586,1.97853,1.43424,1.66741,0.00157898,0.00157898,0.00157898
10,114.162,2.1463,1.5325,1.7047,0.57908,0.55229,0.57975,0.25813,1.97538,1.68784,1.69314,0.00156798,0.00156798,0.00156798
11,121.547,2.06103,1.4669,1.65802,0.84303,0.83267,0.90769,0.44991,1.7819,1.15833,1.53365,0.00155698,0.00155698,0.00155698
12,129.607,1.99798,1.34692,1.58823,0.84884,0.87212,0.93427,0.53943,1.53854,1.13778,1.41136,0.00154598,0.00154598,0.00154598
13,137.845,1.93841,1.30879,1.57264,0.87143,0.86758,0.93422,0.52152,1.52477,1.04022,1.38801,0.00153497,0.00153497,0.00153497
14,145.248,1.88322,1.28303,1.51248,0.95212,0.86259,0.95531,0.51111,1.6231,1.03679,1.41668,0.00152397,0.00152397,0.00152397
15,153.585,1.87226,1.23988,1.49469,0.9221,0.8788,0.95736,0.47299,1.69389,1.05966,1.43353,0.00151297,0.00151297,0.00151297
16,160.875,1.83637,1.21352,1.5125,0.91264,0.88385,0.96453,0.47261,1.62283,1.04994,1.40761,0.00150197,0.00150197,0.00150197
17,168.979,1.79995,1.18409,1.50116,0.96341,0.80593,0.93711,0.45564,1.52783,0.99076,1.3568,0.00149096,0.00149096,0.00149096
18,177.311,1.80078,1.13899,1.44106,0.9338,0.83541,0.95017,0.40352,1.70294,0.98616,1.40655,0.00147996,0.00147996,0.00147996
19,184.735,1.74692,1.13341,1.46314,0.89695,0.90542,0.95633,0.4155,1.86759,1.04908,1.46521,0.00146896,0.00146896,0.00146896
20,193.022,1.77479,1.12308,1.45456,0.8975,0.8858,0.94551,0.33586,2.18392,1.16395,1.58371,0.00145796,0.00145796,0.00145796
21,200.325,1.71603,1.05499,1.40081,0.97938,0.93184,0.98315,0.58631,1.45619,0.89288,1.28917,0.00144696,0.00144696,0.00144696
22,208.614,1.76458,1.08218,1.40447,0.89034,0.84602,0.94243,0.58169,1.42805,0.97197,1.31441,0.00143595,0.00143595,0.00143595
23,216.908,1.73707,1.07895,1.41583,0.9668,0.93904,0.98389,0.56689,1.44741,0.91202,1.29293,0.00142495,0.00142495,0.00142495
24,224.159,1.69887,1.0624,1.38357,0.96756,0.94536,0.98724,0.52573,1.47296,0.91657,1.30257,0.00141395,0.00141395,0.00141395
25,232.476,1.66979,1.04661,1.3855,0.95092,0.82914,0.96297,0.5222,1.54976,0.95935,1.33735,0.00140295,0.00140295,0.00140295
26,239.75,1.69537,1.00761,1.37317,0.93013,0.9648,0.98599,0.52454,1.49544,0.85917,1.30561,0.00139195,0.00139195,0.00139195
27,248.035,1.6897,1.01119,1.37342,0.91672,0.9542,0.97642,0.58142,1.46059,0.85737,1.28632,0.00138094,0.00138094,0.00138094
28,256.182,1.70216,1.02327,1.39006,0.94945,0.85546,0.94403,0.61838,1.31207,0.91732,1.22177,0.00136994,0.00136994,0.00136994
29,263.492,1.61806,0.98406,1.30845,0.96107,0.95355,0.98701,0.60236,1.35651,0.82679,1.23022,0.00135894,0.00135894,0.00135894
30,271.885,1.61892,0.96743,1.34108,0.91168,0.83268,0.9458,0.5119,1.55966,0.95022,1.31006,0.00134794,0.00134794,0.00134794
31,279.32,1.65182,0.95694,1.32435,0.93114,0.9207,0.96437,0.63345,1.32749,0.85406,1.24976,0.00133693,0.00133693,0.00133693
32,287.584,1.60292,0.93018,1.30944,0.93794,0.93326,0.98532,0.6195,1.33358,0.79802,1.20658,0.00132593,0.00132593,0.00132593
33,295.879,1.6196,0.96834,1.33881,0.96734,0.96143,0.99267,0.58581,1.47084,0.77416,1.25575,0.00131493,0.00131493,0.00131493
34,303.28,1.6041,0.94578,1.31253,0.97584,0.93744,0.98534,0.50593,1.62854,0.86089,1.32751,0.00130393,0.00130393,0.00130393
